2019/12/21 17:01:29 - train_logger - INFO - 74 - train - This training task is set as following:                  num_epochs:30,                  learning_rate:0.0001                  weight_decay:0.0                  =======================================
2019/12/21 17:02:20 - train_logger - INFO - 129 - train - Epoch [1/30], Step 158, train Loss: 16878.0098
2019/12/21 17:02:20 - train_logger - INFO - 129 - train - Epoch [1/30], Step 159, train Loss: 10344.3477
2019/12/21 17:02:20 - train_logger - INFO - 129 - train - Epoch [1/30], Step 160, train Loss: 9819.4512
2019/12/21 17:02:20 - train_logger - INFO - 129 - train - Epoch [1/30], Step 161, train Loss: 18506.3086
2019/12/21 17:02:21 - train_logger - INFO - 129 - train - Epoch [1/30], Step 162, train Loss: 12502.8496
2019/12/21 17:02:21 - train_logger - INFO - 129 - train - Epoch [1/30], Step 163, train Loss: 1810.3557
2019/12/21 17:02:22 - train_logger - INFO - 129 - train - Epoch [1/30], Step 164, train Loss: 23272.2070
2019/12/21 17:02:22 - train_logger - INFO - 129 - train - Epoch [1/30], Step 165, train Loss: 21677.6426
2019/12/21 17:02:22 - train_logger - INFO - 129 - train - Epoch [1/30], Step 166, train Loss: 24623.3262
2019/12/21 17:02:22 - train_logger - INFO - 129 - train - Epoch [1/30], Step 167, train Loss: 10335.5010
2019/12/21 17:02:23 - train_logger - INFO - 129 - train - Epoch [1/30], Step 168, train Loss: 15973.2393
2019/12/21 17:02:23 - train_logger - INFO - 129 - train - Epoch [1/30], Step 169, train Loss: 13695.3145
2019/12/21 17:02:23 - train_logger - INFO - 129 - train - Epoch [1/30], Step 170, train Loss: 23392.1309
2019/12/21 17:02:23 - train_logger - INFO - 129 - train - Epoch [1/30], Step 171, train Loss: 8285.2070
2019/12/21 17:02:24 - train_logger - INFO - 129 - train - Epoch [1/30], Step 172, train Loss: 5727.2759
2019/12/21 17:02:24 - train_logger - INFO - 129 - train - Epoch [1/30], Step 173, train Loss: 20920.6875
2019/12/21 17:02:24 - train_logger - INFO - 129 - train - Epoch [1/30], Step 174, train Loss: 9031.7314
2019/12/21 17:02:24 - train_logger - INFO - 129 - train - Epoch [1/30], Step 175, train Loss: 13108.4922
2019/12/21 17:02:25 - train_logger - INFO - 129 - train - Epoch [1/30], Step 176, train Loss: 11715.2891
2019/12/21 17:02:25 - train_logger - INFO - 129 - train - Epoch [1/30], Step 177, train Loss: 15647.6826
2019/12/21 17:02:25 - train_logger - INFO - 129 - train - Epoch [1/30], Step 178, train Loss: 12364.8916
2019/12/21 17:02:26 - train_logger - INFO - 129 - train - Epoch [1/30], Step 179, train Loss: 18409.9395
2019/12/21 17:02:26 - train_logger - INFO - 129 - train - Epoch [1/30], Step 180, train Loss: 44012.2617
2019/12/21 17:02:26 - train_logger - INFO - 129 - train - Epoch [1/30], Step 181, train Loss: 25075.5508
2019/12/21 17:02:26 - train_logger - INFO - 129 - train - Epoch [1/30], Step 182, train Loss: 14863.8506
2019/12/21 17:02:27 - train_logger - INFO - 129 - train - Epoch [1/30], Step 183, train Loss: 4026.4624
2019/12/21 17:02:27 - train_logger - INFO - 129 - train - Epoch [1/30], Step 184, train Loss: 39102.2148
2019/12/21 17:02:27 - train_logger - INFO - 129 - train - Epoch [1/30], Step 185, train Loss: 15038.8809
2019/12/21 17:02:27 - train_logger - INFO - 129 - train - Epoch [1/30], Step 186, train Loss: 10861.2637
2019/12/21 17:02:27 - train_logger - INFO - 129 - train - Epoch [1/30], Step 187, train Loss: 18368.4922
2019/12/21 17:02:28 - train_logger - INFO - 129 - train - Epoch [1/30], Step 188, train Loss: 9916.7285
2019/12/21 17:02:28 - train_logger - INFO - 129 - train - Epoch [1/30], Step 189, train Loss: 9574.5361
2019/12/21 17:02:28 - train_logger - INFO - 129 - train - Epoch [1/30], Step 190, train Loss: 12624.7793
2019/12/21 17:02:29 - train_logger - INFO - 129 - train - Epoch [1/30], Step 191, train Loss: 6906.0186
2019/12/21 17:02:29 - train_logger - INFO - 129 - train - Epoch [1/30], Step 192, train Loss: 10365.9150
2019/12/21 17:02:30 - train_logger - INFO - 129 - train - Epoch [1/30], Step 193, train Loss: 9705.3457
2019/12/21 17:02:30 - train_logger - INFO - 129 - train - Epoch [1/30], Step 194, train Loss: 9410.3271
2019/12/21 17:02:30 - train_logger - INFO - 129 - train - Epoch [1/30], Step 195, train Loss: 20966.3555
2019/12/21 17:02:30 - train_logger - INFO - 129 - train - Epoch [1/30], Step 196, train Loss: 7273.1753
2019/12/21 17:02:31 - train_logger - INFO - 129 - train - Epoch [1/30], Step 197, train Loss: 18310.9004
2019/12/21 17:02:31 - train_logger - INFO - 129 - train - Epoch [1/30], Step 198, train Loss: 11775.2686
2019/12/21 17:02:32 - train_logger - INFO - 129 - train - Epoch [1/30], Step 199, train Loss: 25673.3340
